Code,Municipality,Province,District
60407000,KALIBO,AKLAN,lone
60613000,SAN JOSE,ANTIQUE,lone
87808000,NAVAL,BILIRAN,lone
71242000,TAGBILARAN CITY,BOHOL,1st
61914000,ROXAS CITY,CAPIZ,1st
72217000,CEBU CITY,CEBU,2 LD
82604000,BORONGAN CITY,EASTERN SAMAR,lone
67902000,JORDAN,GUIMARAS,lone
63022000,ILOILO CITY,ILOILO,lone
83747000,TACLOBAN CITY,LEYTE,1st
64501000,BACOLOD CITY,NEGROS OCCIDENTAL,lone
74610000,DUMAGUETE CITY,NEGROS ORIENTAL,2nd
84805000,CATARMAN,NORTHERN SAMAR,1st
76106000,SIQUIJOR,SIQUIJOR,lone
86407000,MAASIN CITY,SOUTHERN LEYTE,lone
86005000,CATBALOGAN CITY,WESTERN SAMAR,2nd
