Start Municipality,Start Province,Start Code,End Municipality,End Province,End Code,Distance (km)
Buruanga,Aklan,60405000,Malay,Aklan,60412000,6.5
Malay,Aklan,60412000,Nabas,Aklan,60414000,26.2
Nabas,Aklan,60414000,Ibajay,Aklan,60406000,11.1
Ibajay,Aklan,60406000,Tangalan,Aklan,60417000,15.2
Nabas,Aklan,60414000,Pandan,Antique,60611000,11.5
Tangalan,Aklan,60417000,Makato,Aklan,60411000,8.5
Tangalan,Aklan,60417000,Numancia,Aklan,60416000,15.9
Tangalan,Aklan,60417000,Lezo,Aklan,60408000,17.8
Numancia,Aklan,60416000,Lezo,Aklan,60408000,7
Numancia,Aklan,60416000,Kalibo,Aklan,60407000,4
Kalibo,Aklan,60407000,New Washington,Aklan,60415000,10.5
Kalibo,Aklan,60407000,Banga,Aklan,60403000,8.4
Lezo,Aklan,60408000,Malinao,Aklan,60413000,4.5
Banga,Aklan,60403000,Balete,Aklan,60402000,13.7
Balete,Aklan,60402000,Altavas,Aklan,60401000,21.2
Altavas,Aklan,60401000,Batan,Aklan,60404000,10.6
Altavas,Aklan,60401000,Libacao,Aklan,60409000,64.3
Libacao,Aklan,60409000,Madalag,Aklan,60410000,5
Buruanga,Aklan,60405000,Libertad,Antique,60610000,19.6
Libertad,Antique,60610000,Pandan,Antique,60611000,23.5
Pandan,Antique,60611000,Sebaste,Antique,60615000,18.1
Sebaste,Antique,60615000,Culasi,Antique,60606000,21.4
Culasi,Antique,60606000,Tibiao,Antique,60617000,16.7
Tibiao,Antique,60617000,Barbaza,Antique,60602000,11.7
Barbaza,Antique,60602000,Laua-an,Antique,60609000,10
Laua-an,Antique,60609000,Bugasong,Antique,60604000,12.4
Bugasong,Antique,60604000,Valderrama,Antique,60618000,18
Bugasong,Antique,60604000,Patnongon,Antique,60612000,18.1
Patnongon,Antique,60612000,Belison,Antique,60603000,9.8
Belison,Antique,60603000,Sibalom,Antique,60616000,10
Sibalom,Antique,60616000,San Remigio,Antique,60614000,19.1
Belison,Antique,60603000,San Jose,Antique,60613000,14.2
San Jose,Antique,60613000,Hamtic,Antique,60608000,8.9
Hamtic,Antique,60608000,Sibalom,Antique,60616000,10.9
Hamtic,Antique,60608000,Tobias Fornier,Antique,60607000,23.4
Tobias Fornier,Antique,60607000,Anini-y,Antique,60601000,11
Hamtic,Antique,60608000,San Joaquin,Iloilo,63040000,37.6
San Joaquin,Iloilo,63040000,Tobias Fornier,Antique,60607000,44.6
San Joaquin,Iloilo,63040000,Anini-y,Antique,60601000,47.1
San Joaquin,Iloilo,63040000,Miagao,Iloilo,63030000,14.3
Miagao,Iloilo,63030000,Guimbal,Iloilo,63020000,12.3
Guimbal,Iloilo,63020000,Igbaras,Iloilo,63021000,11.4
Guimbal,Iloilo,63020000,Tigbauan,Iloilo,63045000,12
Guimbal,Iloilo,63020000,Tubungan,Iloilo,63046000,16.6
Guimbal,Iloilo,63020000,Leon,Iloilo,63028000,19.9
Tigbauan,Iloilo,63045000,Leon,Iloilo,63028000,22.3
Leon,Iloilo,63028000,Alimodian,Iloilo,63002000,12.5
Tigbauan,Iloilo,63045000,Oton,Iloilo,63034000,23
Oton,Iloilo,63034000,Alimodian,Iloilo,63002000,12.5
Oton,Iloilo,63034000,San Miguel,Iloilo,63041000,9.7
Oton,Iloilo,63034000,Pavia,Iloilo,63036000,21.3
Oton,Iloilo,63034000,Iloilo City,Iloilo,63022000,16.6
Iloilo City,Iloilo,63022000,Pavia,Iloilo,63036000,7.8
Pavia,Iloilo,63036000,Santa Barbara,Iloilo,63043000,7.4
Pavia,Iloilo,63036000,San Miguel,Iloilo,63041000,11.7
San Miguel,Iloilo,63041000,Alimodian,Iloilo,63002000,9.5
Santa Barbara,Iloilo,63043000,Cabatuan,Iloilo,63012000,9.2
Cabatuan,Iloilo,63012000,Maasin,Iloilo,63029000,6.1
Alimodian,Iloilo,63002000,Maasin,Iloilo,63029000,8.4
